t_group,c_group,edges,all_A,pres_A,prop_A,all_B,pres_B,prop_B,all_C,pres_C,prop_C,all_D,pres_D,prop_D
SFug_F,Earth_F,4536,4536,733,0.161596119929453,4040,733,0.181435643564356,1609,733,0.455562461155998,109,53,0.486238532110092
SFug_M,Earth_M,3314,3314,410,0.123717561858781,2682,410,0.152870991797166,862,410,0.475638051044084,38,24,0.631578947368421
SF1g_F,Earth_F,4316,4316,559,0.129518072289157,3669,559,0.152357590624148,1248,559,0.447916666666667,48,25,0.520833333333333
SF1g_M,Earth_M,2632,2632,238,0.0904255319148936,1999,238,0.119059529764882,478,238,0.497907949790795,9,6,0.666666666666667
SFug_F,SF1g_F,4509,4509,754,0.167221113328898,4031,754,0.18705035971223,1686,754,0.447212336892052,105,39,0.371428571428571
SFug_M,SF1g_M,3047,3047,313,0.102723990810633,2414,313,0.129660314830157,661,313,0.473524962178517,18,8,0.444444444444444
