regulatoryGene,targetGene,cor,p.adj
FBgn0038894,FBgn0031273,0.838493489102284,0.00929745235633453
FBgn0263590,FBgn0053855,0.841113391458593,0.00887073335399759
FBgn0262904,FBgn0267327,0.861797771376953,0.00593400452496134
FBgn0032682,FBgn0264377,0.845976108193244,0.00811217108258431
FBgn0051971,FBgn0260393,0.968990708446807,7.282156213109e-05
FBgn0085759,FBgn0083057,0.900454022067351,0.00228565039868594
FBgn0267520,FBgn0260644,0.965543007653672,9.96507488744069e-05
FBgn0065053,FBgn0267121,0.810975768253567,0.0145814508171596
FBgn0000308,FBgn0023171,-0.801180650256654,0.0168346055419363
FBgn0265877,FBgn0036131,0.915118665688247,0.00143321283995635
FBgn0035213,FBgn0085664,0.956244327192092,0.000202619298197153
FBgn0030041,FBgn0053810,0.918186360914128,0.00128641290745775
FBgn0085758,FBgn0267513,0.884212998487853,0.00355157964750636
FBgn0039625,FBgn0053855,0.835342040941507,0.0098277418215438
FBgn0040357,FBgn0011910,0.849669058793775,0.00756463825594659
FBgn0005626,FBgn0030538,0.967317370456273,8.51499216722409e-05
FBgn0038466,FBgn0267539,0.847097047788525,0.00794339520660254
FBgn0030122,FBgn0038157,0.829567735888833,0.0108483492519156
FBgn0035022,FBgn0053117,0.821707872467576,0.0123418185049699
FBgn0085822,FBgn0036010,0.812927993796069,0.0141564743385452
FBgn0265340,FBgn0033202,0.848904076245757,0.00767605893125376
FBgn0265496,FBgn0033202,0.919324370449309,0.00123455897771155
FBgn0267937,FBgn0033202,0.969998841808689,6.59979478049876e-05
FBgn0051025,FBgn0264295,0.867391148111583,0.00526541259231666
FBgn0039454,FBgn0267618,0.845114770843215,0.00824339900871663
FBgn0262467,FBgn0267139,0.84587506017148,0.0081274967196254
FBgn0039836,FBgn0265309,0.904406993274069,0.00203025210644044
FBgn0065048,FBgn0262623,0.814848150072529,0.0137461667525
FBgn0267624,FBgn0266862,0.897770892521135,0.00247033878968889
FBgn0052571,FBgn0053535,0.84834647942045,0.00775792923290344
FBgn0036242,FBgn0260226,0.807884562112992,0.0152706215460896
FBgn0050385,FBgn0002709,0.852943293065763,0.00709941072534504
FBgn0267170,FBgn0267618,0.806653406180729,0.0155506898811369
FBgn0039424,FBgn0265372,0.821830196073154,0.0123176380477464
FBgn0266641,FBgn0265922,0.831101508185207,0.0105710099009284
FBgn0038007,FBgn0011910,0.871725135089028,0.00478209814553787
FBgn0034011,FBgn0267075,0.8620091922152,0.00590779682496751
FBgn0003130,FBgn0004170,0.855555572853566,0.00674165563631327
FBgn0037003,FBgn0051038,-0.892934956350036,0.00282709919938782
FBgn0039315,FBgn0041239,0.928199561005874,0.000876265992443678
FBgn0037718,FBgn0020509,0.864476442847343,0.00560742297122033
FBgn0267994,FBgn0036712,0.867767514549284,0.00522225253205556
FBgn0267054,FBgn0083057,0.909263854827816,0.00174280072127346
FBgn0267034,FBgn0036010,0.920111877355363,0.00119948633387808
FBgn0250862,FBgn0264870,0.803285348294034,0.0163332764046239
FBgn0033274,FBgn0038003,0.863055573699912,0.0057791789644158
FBgn0010105,FBgn0002933,0.829972877626517,0.0107746484567705
FBgn0040333,FBgn0266732,0.871620310767831,0.00479343678978008
FBgn0264616,FBgn0045501,0.806855143017619,0.0155045788880017
FBgn0262732,FBgn0267134,0.812503944745434,0.014248112948942
FBgn0025700,FBgn0267134,0.826874342154261,0.0113464349796305
FBgn0030769,FBgn0267134,0.813598034576426,0.0140124336854054
FBgn0267496,FBgn0051953,-0.817913210997224,0.0131068781112633
FBgn0034624,FBgn0267618,0.817462984425559,0.0131995827149019
FBgn0050472,FBgn0266732,0.820542245233692,0.0125737397074787
FBgn0000061,FBgn0264722,0.902263988944449,0.00216627228155003
FBgn0267326,FBgn0037195,0.868996983683459,0.00508284649498085
FBgn0050284,FBgn0260226,0.871793200567753,0.00477474487108341
FBgn0265918,FBgn0063384,0.869130159729123,0.00506789114637339
FBgn0040958,FBgn0266231,0.966329888468748,9.30339639154889e-05
FBgn0030668,FBgn0264349,0.875223057582196,0.00441355694239751
FBgn0036772,FBgn0263763,0.866667247194839,0.00534906837546954
FBgn0259113,FBgn0263763,0.877595551990853,0.00417431183982415
FBgn0267500,FBgn0265878,-0.8799071814531,0.00394939517777651
FBgn0035254,FBgn0037039,0.900934542859277,0.00225355171870476
FBgn0034540,FBgn0013469,0.856175042138953,0.00665854598245555
FBgn0250907,FBgn0011884,0.810018251255147,0.014792788076034
FBgn0038774,FBgn0033212,-0.846938260476273,0.00796716589841676
FBgn0060292,FBgn0051617,0.834397815377591,0.0099902745025087
FBgn0027496,FBgn0030911,0.891007958615405,0.00297803685261851
FBgn0266853,FBgn0261616,0.955816359574392,0.0002085550075409
FBgn0265611,FBgn0053986,0.82645889408615,0.0114245260098394
FBgn0051851,FBgn0266897,0.830158081511484,0.0107410632620585
FBgn0063391,FBgn0262623,0.975621105044625,3.55637285548001e-05
FBgn0264829,FBgn0263777,0.808168505173104,0.0152064821908497
FBgn0267326,FBgn0263777,0.924001419903618,0.00103577981876906
FBgn0003502,FBgn0266985,0.914178964643626,0.00148026634267842
FBgn0036207,FBgn0264604,0.831427700646704,0.0105126129907248
FBgn0265366,FBgn0265377,0.902114916120214,0.00217594790005428
FBgn0036227,FBgn0050457,0.86444540854376,0.0056111389983858
FBgn0265105,FBgn0038918,0.872324667865179,0.00471757894587218
FBgn0262146,FBgn0262588,0.939930305640541,0.000517764130114798
FBgn0031574,FBgn0264886,0.801848815660448,0.0166744220784783
FBgn0053082,FBgn0264604,0.918099835767687,0.00129041250469976
FBgn0037151,FBgn0265636,0.933991715713747,0.000683885105022976
FBgn0001124,FBgn0011881,0.927264001162193,0.000910311979251211
FBgn0265524,FBgn0263970,-0.845968409292558,0.00811333810238114
FBgn0051347,FBgn0085786,0.895392076408072,0.00264193859235147
FBgn0264269,FBgn0085786,0.884502611635765,0.00352579393641607
FBgn0052834,FBgn0259959,0.908048294436199,0.00181207909889005
FBgn0051410,FBgn0054031,0.857209111711902,0.00652127696742999
FBgn0033453,FBgn0265095,0.810904858137066,0.0145970361332753
FBgn0004034,FBgn0031766,0.892438800180266,0.0028654772992654
FBgn0262889,FBgn0086029,-0.83470091927556,0.00993791584016647
FBgn0001206,FBgn0032853,0.983008866144842,1.21075482760517e-05
FBgn0051347,FBgn0052413,0.895392076408072,0.00264193859235147
FBgn0021750,FBgn0052413,0.899847739950367,0.00232657097459572
FBgn0267927,FBgn0265085,0.833918776912665,0.0100733806184228
