regulatoryGene	targetGene	weight
FBgn0000557	FBgn0265722	0.0074411240833221
FBgn0030936	FBgn0039521	0.00743810538615882
FBgn0266321	FBgn0040294	0.00743310091442424
FBgn0051730	FBgn0266873	0.00742827212695225
FBgn0036609	FBgn0262895	0.00742581955418728
FBgn0039417	FBgn0262895	0.00742581955418728
FBgn0035059	FBgn0031786	0.00740736826851618
FBgn0030904	FBgn0039778	0.00739784891248242
FBgn0026015	FBgn0036941	0.00739717667103884
FBgn0065095	FBgn0265801	0.00737912291522534
FBgn0085351	FBgn0265801	0.00737912291522534
FBgn0037402	FBgn0030664	0.00737656261929144
FBgn0026373	FBgn0028910	0.00737640893108341
FBgn0264957	FBgn0259969	0.00736961518603877
FBgn0031693	FBgn0035069	0.00736513202612721
FBgn0250842	FBgn0266400	0.00735993473279988
FBgn0015576	FBgn0053537	0.0073522654500258
FBgn0034159	FBgn0052185	0.00735157600877254
FBgn0004430	FBgn0052185	0.00735157600877254
FBgn0036959	FBgn0052286	0.00734591077633451
FBgn0026252	FBgn0052286	0.00734591077633451
FBgn0031895	FBgn0051579	0.0073404669091529
FBgn0086041	FBgn0085190	0.00732296232289113
FBgn0041235	FBgn0050206	0.00732123250311491
FBgn0038745	FBgn0028416	0.00731692055330021
FBgn0265269	FBgn0051885	0.0073107408217409
FBgn0038183	FBgn0037180	0.00730485596570855
FBgn0038865	FBgn0037180	0.00730485596570855
FBgn0266809	FBgn0037180	0.00730485596570855
FBgn0267588	FBgn0037180	0.00730485596570855
FBgn0000140	FBgn0267318	0.00729273332157925
FBgn0031757	FBgn0043043	0.007287138380107
FBgn0036039	FBgn0052987	0.0072835328867613
FBgn0024510	FBgn0267697	0.00727894787005538
FBgn0262613	FBgn0264843	0.00727570493701078
FBgn0036155	FBgn0052273	0.00727293669440328
FBgn0265899	FBgn0050417	0.00727096459105435
FBgn0053497	FBgn0028935	0.00725762781761214
FBgn0015929	FBgn0264485	0.00725637783787283
FBgn0029091	FBgn0026602	0.00724499416014614
FBgn0036781	FBgn0264786	0.00723720755457171
FBgn0039252	FBgn0264857	0.0072310872253781
FBgn0260434	FBgn0051718	0.00722882201355066
FBgn0266322	FBgn0035384	0.00722423285069383
FBgn0051390	FBgn0039710	0.00720716021083753
FBgn0035689	FBgn0267272	0.00720006276785399
FBgn0037421	FBgn0034114	0.00719299170353085
FBgn0034418	FBgn0040958	0.00719176929303384
FBgn0267137	FBgn0085327	0.00718324851220105
FBgn0037727	FBgn0052488	0.00718194251924096
FBgn0085350	FBgn0052488	0.00718194251924096
FBgn0030624	FBgn0053861	0.00717625188335228
FBgn0267458	FBgn0029964	0.00715291337207216
FBgn0267539	FBgn0029964	0.00715291337207216
FBgn0031627	FBgn0029964	0.00715291337207216
FBgn0034885	FBgn0038356	0.00715272226249634
FBgn0032366	FBgn0085267	0.00714910423943192
FBgn0033814	FBgn0025679	0.0071423711991834
FBgn0038888	FBgn0025679	0.0071423711991834
FBgn0264369	FBgn0025679	0.0071423711991834
FBgn0069969	FBgn0032624	0.00713969843292863
FBgn0042098	FBgn0011910	0.00713800135961931
FBgn0035099	FBgn0265895	0.00713444464576916
FBgn0264543	FBgn0265895	0.00713444464576916
FBgn0032167	FBgn0267681	0.00712137994009247
FBgn0037720	FBgn0267681	0.00712137994009247
FBgn0002901	FBgn0263777	0.00711783979211388
FBgn0032442	FBgn0263777	0.00711783979211388
FBgn0032818	FBgn0263777	0.00711783979211388
FBgn0035848	FBgn0263777	0.00711783979211388
FBgn0083036	FBgn0020506	0.00711566281110582
FBgn0032178	FBgn0085202	0.00711446374833685
FBgn0051946	FBgn0085202	0.00711446374833685
FBgn0043550	FBgn0266040	0.00710077711936044
FBgn0053491	FBgn0036471	0.00709331651954603
FBgn0032264	FBgn0085786	0.00708199374985948
