regulatoryGene,targetGene,cor,p.adj
FBgn0051971,FBgn0260393,0.968990708446807,7.282156213109e-05
FBgn0267520,FBgn0260644,0.965543007653672,9.96507488744069e-05
FBgn0035213,FBgn0085664,0.956244327192092,0.000202619298197153
FBgn0005626,FBgn0030538,0.967317370456273,8.51499216722409e-05
FBgn0267937,FBgn0033202,0.969998841808689,6.59979478049876e-05
FBgn0040958,FBgn0266231,0.966329888468748,9.30339639154889e-05
FBgn0266853,FBgn0261616,0.955816359574392,0.0002085550075409
FBgn0063391,FBgn0262623,0.975621105044625,3.55637285548001e-05
FBgn0001206,FBgn0032853,0.983008866144842,1.21075482760517e-05
FBgn0041581,FBgn0053257,0.972080264724287,5.32764350217512e-05
FBgn0051226,FBgn0265452,0.954207681443674,0.000231889819692782
FBgn0261616,FBgn0036227,0.993572077634533,6.60778357924776e-07
FBgn0053861,FBgn0053858,0.973289086143177,4.66944263216752e-05
FBgn0266897,FBgn0020546,1,2.2250738585072e-308
FBgn0039360,FBgn0034092,0.957491007194012,0.000185965524525341
FBgn0043012,FBgn0034092,0.967294098124829,8.5330442814986e-05
FBgn0266248,FBgn0265926,0.959702254508906,0.000158694936697865
FBgn0085229,FBgn0030528,-0.956773980588789,0.000195428826038139
FBgn0011955,FBgn0263024,0.978752430969265,2.36004958383243e-05
FBgn0053861,FBgn0053855,0.954438894245888,0.000228435229977516
FBgn0267090,FBgn0053702,1,2.2250738585072e-308
FBgn0051104,FBgn0036320,0.992228212472312,1.16672333362447e-06
FBgn0031277,FBgn0036320,0.957398284734973,0.000187171875737417
FBgn0051423,FBgn0002855,0.959504350658766,0.000161020265445895
FBgn0053813,FBgn0051617,1,2.2250738585072e-308
FBgn0000228,FBgn0265270,0.962925377295513,0.000123884015469203
FBgn0044812,FBgn0038157,0.954217652113627,0.000231740141006865
FBgn0265870,FBgn0038157,1,2.2250738585072e-308
FBgn0267221,FBgn0032868,0.954315925792369,0.000230268270065502
FBgn0050464,FBgn0036010,0.964750600884932,0.000106620897582447
FBgn0051454,FBgn0085457,0.953969489646447,0.000235484487795774
FBgn0038082,FBgn0085765,0.995118890450758,2.89670610443478e-07
FBgn0085520,FBgn0266862,0.956258777804213,0.000202420843121667
FBgn0053237,FBgn0051742,0.976246064903951,3.29137393490154e-05
FBgn0264358,FBgn0034318,0.998380884804134,1.05985322570657e-08
FBgn0039056,FBgn0000384,0.971674203745384,5.5617834141797e-05
FBgn0033868,FBgn0051230,0.982343808458141,1.35788276622043e-05
FBgn0039846,FBgn0035642,0.974835397261815,3.90910482861201e-05
FBgn0030452,FBgn0266902,0.965404189179131,0.000100849381647346
FBgn0262807,FBgn0037463,0.984032123135152,1.00569404644913e-05
FBgn0086916,FBgn0000591,0.960087372419253,0.00015423360347422
FBgn0264264,FBgn0039585,0.981049831029697,1.67720539392637e-05
FBgn0083951,FBgn0082937,-0.96237941219894,0.000129384305572638
FBgn0037995,FBgn0034904,0.982294466728748,1.36924777949684e-05
FBgn0010812,FBgn0052376,0.962482309299499,0.000128335594435874
FBgn0034721,FBgn0037179,0.974722189257667,3.96176081245716e-05
FBgn0283437,FBgn0001208,0.958894096593654,0.000168331882425417
FBgn0263038,FBgn0041239,0.991752732297324,1.39373463623404e-06
FBgn0037398,FBgn0260644,0.954857574764028,0.000222266263010925
